LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,LTINT,TOT,PC_PA,M,2020-10,0.82,
AUS,LTINT,TOT,PC_PA,M,2020-11,0.87,
AUS,LTINT,TOT,PC_PA,M,2020-12,0.98,
AUS,LTINT,TOT,PC_PA,M,2021-01,1.05,
AUS,LTINT,TOT,PC_PA,M,2021-02,1.32,
AUS,LTINT,TOT,PC_PA,M,2021-03,1.69,
AUS,LTINT,TOT,PC_PA,M,2021-04,1.65,
AUS,LTINT,TOT,PC_PA,M,2021-05,1.62,
AUS,LTINT,TOT,PC_PA,M,2021-06,1.52,
AUS,LTINT,TOT,PC_PA,M,2021-07,1.25,
AUS,LTINT,TOT,PC_PA,M,2021-08,1.12,
AUS,LTINT,TOT,PC_PA,M,2021-09,1.28,
AUS,LTINT,TOT,PC_PA,M,2021-10,1.72,
AUS,LTINT,TOT,PC_PA,M,2021-11,1.81,
AUS,LTINT,TOT,PC_PA,M,2021-12,1.61,
AUS,LTINT,TOT,PC_PA,M,2022-01,1.88,
AUS,LTINT,TOT,PC_PA,M,2022-02,2.11,
AUS,LTINT,TOT,PC_PA,M,2022-03,2.5,
AUS,LTINT,TOT,PC_PA,M,2022-04,3.01,
AUS,LTINT,TOT,PC_PA,M,2022-05,3.38,
AUS,LTINT,TOT,PC_PA,M,2022-06,3.77,
AUS,LTINT,TOT,PC_PA,M,2022-07,3.42,
AUS,LTINT,TOT,PC_PA,M,2022-08,3.37,
AUS,LTINT,TOT,PC_PA,M,2022-09,3.74,
POL,LTINT,TOT,PC_PA,M,2007-01,5.17,
POL,LTINT,TOT,PC_PA,M,2007-02,5.19,
POL,LTINT,TOT,PC_PA,M,2007-03,5.19,
POL,LTINT,TOT,PC_PA,M,2007-04,5.28,
POL,LTINT,TOT,PC_PA,M,2007-05,5.29,
POL,LTINT,TOT,PC_PA,M,2007-06,5.52,
POL,LTINT,TOT,PC_PA,M,2007-07,5.6,
POL,LTINT,TOT,PC_PA,M,2007-08,5.68,
POL,LTINT,TOT,PC_PA,M,2007-09,5.69,
POL,LTINT,TOT,PC_PA,M,2007-10,5.64,
POL,LTINT,TOT,PC_PA,M,2007-11,5.702,
POL,LTINT,TOT,PC_PA,M,2007-12,5.86,
POL,LTINT,TOT,PC_PA,M,2008-01,5.81,
POL,LTINT,TOT,PC_PA,M,2008-02,5.82,
POL,LTINT,TOT,PC_PA,M,2008-03,5.99,
POL,LTINT,TOT,PC_PA,M,2008-04,5.99,
POL,LTINT,TOT,PC_PA,M,2008-05,6.1,
POL,LTINT,TOT,PC_PA,M,2008-06,6.42,
POL,LTINT,TOT,PC_PA,M,2008-07,6.45,
POL,LTINT,TOT,PC_PA,M,2008-08,6.11,
POL,LTINT,TOT,PC_PA,M,2008-09,5.89,
POL,LTINT,TOT,PC_PA,M,2008-10,6.35,
POL,LTINT,TOT,PC_PA,M,2008-11,6.23,
POL,LTINT,TOT,PC_PA,M,2008-12,5.7,
POL,LTINT,TOT,PC_PA,M,2009-01,5.46,
POL,LTINT,TOT,PC_PA,M,2009-02,5.97,
POL,LTINT,TOT,PC_PA,M,2009-03,6.223182,
POL,LTINT,TOT,PC_PA,M,2009-04,6.19,
POL,LTINT,TOT,PC_PA,M,2009-05,6.314,
POL,LTINT,TOT,PC_PA,M,2009-06,6.34,
POL,LTINT,TOT,PC_PA,M,2009-07,6.19,
POL,LTINT,TOT,PC_PA,M,2009-08,6.08,
POL,LTINT,TOT,PC_PA,M,2009-09,6.17,
POL,LTINT,TOT,PC_PA,M,2009-10,6.15,
POL,LTINT,TOT,PC_PA,M,2009-11,6.14,
POL,LTINT,TOT,PC_PA,M,2009-12,6.22,
POL,LTINT,TOT,PC_PA,M,2010-01,6.13,
POL,LTINT,TOT,PC_PA,M,2010-02,6.09,
POL,LTINT,TOT,PC_PA,M,2010-03,5.72,
